tube,temp,temp_var,mean_temp,resource,species,exposed
542,25,0,25,0.5,D,1
543,25,0,25,0.5,D,1
544,25,0,25,0.5,D,1
545,25,0,25,0.5,D,1
546,25,0,25,0.5,D,1
547,25,0,25,0.5,D,1
548,25,0,25,0.5,D,1
549,25,0,25,0.5,D,1
550,25,0,25,0.5,D,1
551,25,0,25,0.5,D,1
552,25,0,25,0.5,D,1
553,25,0,25,0.5,D,1
554,25,0,25,0.5,D,1
555,25,0,25,0.5,D,1
556,25,0,25,1,D,0
557,25,0,25,1,D,0
558,25,0,25,1,D,0
559,25,0,25,1,D,0
560,25,0,25,1,D,0
561,25,0,25,1,D,0
562,25,0,25,1,D,0
563,25,0,25,1,D,0
564,25,0,25,1,D,0
565,25,0,25,1,D,0
566,25,0,25,1,D,0
567,25,0,25,1,D,0
568,25,0,25,1,D,0
569,25,0,25,1,D,0
570,25,0,25,1,D,0
571,25,0,25,1,D,1
572,25,0,25,1,D,1
573,25,0,25,1,D,1
574,25,0,25,1,D,1
575,25,0,25,1,D,1
576,25,0,25,1,D,1
577,25,0,25,1,D,1
578,25,0,25,1,D,1
579,25,0,25,1,D,1
580,25,0,25,1,D,1
581,25,0,25,1,D,1
582,25,0,25,1,D,1
583,25,0,25,1,D,1
584,25,0,25,1,D,1
585,25,0,25,1,D,1
586,25,0,25,1,D,1
587,25,0,25,1,D,1
588,25,0,25,1,D,1
589,25,0,25,1,D,1
590,25,0,25,1,D,1
591,25,0,25,1,D,1
592,25,0,25,1,D,1
593,25,0,25,1,D,1
594,25,0,25,1,D,1
595,25,0,25,1,D,1
596,25,0,25,1,D,1
597,25,0,25,1,D,1
598,25,0,25,1,D,1
599,25,0,25,1,D,1
600,25,0,25,1,D,1
601,15,0,15,1,C,0
602,15,0,15,1,C,0
603,15,0,15,1,C,0
604,15,0,15,1,C,0
605,15,0,15,1,C,0
606,15,0,15,1,C,0
607,15,0,15,1,C,0
608,15,0,15,1,C,0
609,15,0,15,1,C,0
610,15,0,15,1,C,0
611,15,0,15,1,C,0
612,15,0,15,1,C,0
613,15,0,15,1,C,0
614,15,0,15,1,C,0
615,15,0,15,1,C,0
