date,plate,resource,temp,well_number,sample,read
3/6/2023,7,0.1,20,47,104,6696
3/6/2023,7,0.1,20,48,0,2689
3/6/2023,7,0.1,20,49,95,2783
3/6/2023,7,0.1,20,50,95,6515
3/6/2023,7,0.1,20,51,95,6738
3/6/2023,7,0.1,20,52,0,2521
3/6/2023,7,0.1,20,53,100,3812
3/6/2023,7,0.1,20,54,100,5487
3/6/2023,7,0.1,20,55,100,6088
3/6/2023,7,0.1,20,56,0,2480
3/6/2023,7,0.1,20,57,105,3361
3/6/2023,7,0.1,20,58,105,3314
3/6/2023,7,0.1,20,59,105,3433
3/6/2023,7,0.1,20,60,0,2445
3/6/2023,7,0.1,20,61,C1,3508
3/6/2023,7,0.1,20,62,C1,3202
3/6/2023,7,0.1,20,63,C1,3043
3/6/2023,7,0.1,20,64,0,2511
3/6/2023,7,0.1,20,65,C2,3260
3/6/2023,7,0.1,20,66,C2,3240
3/6/2023,7,0.1,20,67,C2,3110
3/6/2023,7,0.1,20,68,0,2540
